award_share,fga,per,ws,ws_per_48,usg_pct,ast_per_g,stl_per_g,blk_per_g
0.001,14.6,19.7,9.8,0.162,23.1,3.5,1.6,1.5
0.351,15.8,27.5,13.9,0.26,24.7,2.7,2.3,4.5
0.027,7.7,17.0,12.6,0.183,11.1,2.3,0.8,0.9
0.001,11.6,19.5,9.8,0.181,21.1,3.9,0.8,0.5
0.019,11.5,22.8,13.4,0.215,19.9,13.7,3.0,0.3
0.273,18.7,25.4,15.1,0.237,30.3,3.0,1.3,0.6
0.002,14.4,19.9,10.0,0.165,23.6,10.7,1.5,0.3
0.003,16.8,21.0,5.5,0.159,24.7,6.8,0.9,0.7
0.069,12.5,22.7,9.1,0.205,24.1,7.4,1.3,0.2
0.938,22.7,27.7,17.7,0.274,31.7,6.1,2.3,0.9
0.104,18.6,22.8,13.0,0.198,27.2,1.9,1.1,3.0
0.033,16.6,21.5,12.7,0.192,24.6,7.0,1.9,1.1
0.067,19.7,19.1,9.2,0.132,24.4,10.0,2.0,0.2
0.001,12.8,22.0,12.7,0.226,21.1,4.4,0.7,0.8
0.852,18.1,25.9,14.4,0.242,26.9,5.1,1.6,1.0
0.001,16.7,20.7,6.0,0.171,26.1,5.7,1.9,0.8
0.034,16.4,24.2,13.2,0.197,26.4,3.7,1.5,3.2
0.055,22.3,24.3,10.5,0.191,31.9,3.2,1.0,0.4
0.66,19.5,27.3,15.8,0.234,28.8,3.5,1.8,4.2
0.001,18.9,17.6,9.1,0.141,24.5,4.0,1.0,0.1
0.001,11.0,21.3,10.6,0.177,19.9,12.0,2.4,0.3
0.01,17.6,26.2,15.4,0.238,28.4,3.8,1.5,1.0
0.01,13.1,22.1,9.8,0.197,24.5,8.0,1.2,0.1
0.577,25.7,29.7,17.2,0.27,34.7,5.5,2.8,0.8
0.366,19.1,20.8,10.6,0.17,29.7,1.9,0.9,2.0
0.031,16.1,22.9,10.4,0.163,27.0,1.9,0.7,3.5
0.001,13.4,20.4,9.1,0.169,24.2,2.0,1.5,1.9
0.005,16.1,22.8,8.8,0.185,26.5,4.6,1.6,0.6
0.723,20.7,30.7,20.0,0.296,32.0,4.8,1.7,3.3
0.001,3.7,13.4,8.7,0.14,7.1,2.3,0.7,0.4
0.001,21.5,21.4,8.4,0.153,32.0,2.3,1.2,0.4
0.02,14.1,17.8,9.3,0.155,21.6,6.0,2.3,0.2
0.88,21.2,25.3,14.3,0.21,29.8,3.6,1.6,3.7
0.001,10.6,22.5,13.2,0.214,19.1,12.6,2.4,0.3
0.017,18.9,22.9,13.4,0.193,28.0,4.0,1.5,1.5
0.001,14.6,20.6,8.7,0.17,24.3,9.5,1.9,0.1
0.001,15.7,19.4,10.2,0.17,24.1,1.9,1.0,0.5
0.001,17.3,15.9,8.0,0.108,21.5,4.7,2.2,0.9
0.007,13.2,22.7,10.0,0.201,24.6,7.8,1.4,0.1
0.001,13.3,19.6,10.2,0.168,19.8,9.7,2.6,0.5
0.252,19.0,22.9,13.1,0.211,29.8,2.3,1.1,2.7
0.386,17.8,23.2,11.2,0.194,27.1,5.6,2.9,0.8
0.286,19.6,28.5,16.9,0.252,29.0,2.4,0.9,2.9
0.017,12.5,22.9,11.7,0.216,24.2,2.6,1.8,2.1
0.022,14.8,20.8,10.7,0.177,23.7,7.2,1.7,0.3
0.001,16.8,19.9,5.2,0.123,26.5,1.8,1.0,0.3
0.091,16.8,25.2,10.6,0.214,27.5,4.1,1.6,0.7
0.003,16.3,22.4,11.7,0.206,25.7,4.8,1.8,0.6
0.858,18.4,29.1,17.5,0.273,29.9,2.9,1.7,3.2
0.009,4.9,16.6,5.8,0.178,10.9,2.0,0.6,0.5
0.032,16.4,21.3,11.7,0.187,24.4,7.1,2.5,0.2
0.14,21.5,26.0,10.7,0.181,31.7,3.5,1.8,3.4
0.007,10.8,15.1,3.7,0.066,19.0,7.7,1.9,0.3
0.045,9.6,23.3,13.9,0.233,18.9,12.3,2.4,0.3
0.507,18.9,25.1,13.8,0.212,30.3,3.5,1.6,1.0
0.011,23.8,22.1,2.3,0.167,33.2,5.3,1.8,0.8
0.219,18.4,21.9,9.6,0.157,30.7,2.7,0.9,2.0
0.079,16.7,22.6,11.8,0.188,26.3,5.2,2.9,1.1
0.576,20.2,28.6,14.0,0.23,31.9,2.7,0.9,2.4
0.005,15.4,22.7,9.9,0.178,28.1,2.3,1.0,2.7
0.319,14.8,24.6,14.4,0.229,25.5,7.1,2.0,0.5
0.007,16.3,24.8,10.5,0.191,27.5,3.7,1.6,0.8
0.508,16.8,29.4,18.3,0.29,28.8,3.0,1.4,3.3
0.004,4.8,13.6,6.2,0.143,10.3,2.5,0.6,0.4
0.087,15.8,19.6,11.5,0.174,23.6,7.5,2.9,0.2
0.056,15.3,20.9,11.7,0.172,25.9,6.9,1.3,0.6
0.211,20.8,25.5,9.7,0.166,31.9,3.6,1.6,2.9
0.011,10.0,21.9,13.0,0.214,18.7,11.2,1.7,0.2
0.075,18.5,26.0,15.1,0.233,29.8,4.2,1.7,0.7
0.007,9.2,21.1,3.6,0.181,22.7,6.9,0.8,0.4
0.986,22.6,29.4,20.4,0.317,33.3,4.3,2.2,0.5
0.003,16.9,19.2,9.3,0.151,26.9,3.1,1.5,0.2
0.2,15.8,21.0,12.3,0.209,24.4,5.9,1.7,0.7
0.056,19.1,26.4,6.9,0.171,32.8,2.9,0.6,2.1
0.065,11.9,22.6,11.2,0.205,26.2,2.2,1.2,1.6
0.003,14.6,25.2,12.7,0.237,27.6,6.5,1.8,0.4
0.001,19.8,18.0,4.1,0.065,28.9,7.5,2.1,0.3
0.004,13.4,21.6,8.4,0.174,27.5,1.6,0.8,2.9
0.006,11.3,18.9,11.4,0.173,17.6,5.7,1.0,0.5
0.002,13.1,23.0,9.4,0.224,23.2,4.7,1.3,0.5
0.003,9.0,19.0,11.3,0.183,17.4,1.4,0.6,3.3
0.091,18.1,21.8,12.9,0.193,26.4,7.1,2.4,0.2
0.117,19.2,19.7,10.8,0.154,26.9,2.0,0.9,0.3
0.327,15.7,25.5,14.6,0.223,28.3,7.3,1.8,0.6
0.083,18.3,22.7,9.1,0.154,30.4,3.0,1.5,2.2
0.003,9.3,22.1,13.6,0.226,18.4,10.5,2.0,0.2
0.857,19.2,28.9,16.7,0.268,32.7,4.5,1.4,0.6
0.001,12.7,22.9,11.7,0.211,22.6,9.3,1.5,0.2
0.832,23.1,27.8,18.3,0.283,33.2,4.3,1.7,0.5
0.003,19.5,21.6,10.8,0.166,29.4,4.2,1.5,0.3
0.05,17.2,21.3,9.8,0.163,29.8,2.0,0.9,2.4
0.005,16.7,21.3,13.1,0.203,24.6,5.7,1.9,0.5
0.006,19.4,27.1,8.0,0.197,31.1,3.1,0.9,2.9
0.001,15.9,17.4,9.1,0.154,25.0,4.2,0.9,0.3
0.207,17.1,20.8,12.9,0.198,26.6,8.6,1.9,0.1
0.001,16.5,19.0,6.7,0.103,27.5,4.1,1.6,1.1
0.005,20.8,17.8,4.7,0.07,29.2,3.3,1.7,0.7
0.031,14.6,27.8,13.8,0.269,29.7,2.7,0.9,2.6
0.372,15.6,21.6,12.5,0.19,24.6,8.3,2.3,0.2
0.006,16.9,17.4,9.3,0.136,25.1,2.2,0.9,0.3
0.02,16.8,21.2,10.2,0.149,27.3,6.8,1.8,0.7
0.004,10.5,16.4,8.0,0.123,17.6,9.1,2.0,0.3
0.004,8.0,21.8,8.0,0.206,19.3,8.5,1.4,0.2
0.726,18.2,27.9,16.4,0.259,31.8,3.9,1.2,0.9
0.001,18.4,19.3,7.5,0.106,25.7,4.9,1.6,0.4
0.934,23.1,25.2,15.8,0.238,33.7,3.5,1.7,0.5
0.003,17.4,20.4,7.9,0.148,27.8,4.0,1.3,0.2
0.002,13.3,19.8,12.0,0.206,23.9,2.1,1.0,0.1
0.002,14.2,19.9,6.1,0.141,29.2,1.4,0.5,1.2
0.001,14.9,19.6,8.1,0.129,23.7,10.5,1.7,0.3
0.012,16.0,20.4,6.6,0.193,24.4,5.8,1.8,1.0
0.268,19.1,28.8,10.2,0.224,32.9,2.4,0.7,2.4
0.128,15.7,22.6,12.8,0.192,26.0,2.7,0.7,2.5
0.061,16.0,20.6,11.7,0.185,25.6,8.3,1.7,0.2
0.021,14.2,20.4,10.4,0.169,24.7,1.9,1.1,1.0
0.27,22.0,22.2,7.2,0.173,32.6,4.6,2.3,0.1
0.655,13.8,24.6,7.9,0.216,27.1,1.6,0.7,3.9
0.001,14.3,16.7,5.0,0.122,22.4,5.3,2.2,0.5
0.003,9.6,20.4,5.8,0.207,21.7,2.4,0.7,1.3
0.043,18.5,19.5,3.6,0.102,24.9,4.1,1.4,2.1
0.002,10.4,22.2,6.4,0.205,22.9,6.7,2.2,0.1
0.005,10.8,24.9,8.4,0.261,23.8,2.1,1.4,2.4
0.03,18.5,23.1,7.2,0.172,27.1,8.7,2.2,0.2
0.001,16.1,19.7,4.0,0.122,28.2,2.1,1.0,0.9
0.033,16.0,23.9,7.3,0.189,29.6,6.0,1.6,0.5
0.003,14.5,23.1,6.5,0.175,25.9,1.8,1.6,2.5
0.135,14.0,22.5,8.1,0.188,21.4,10.8,2.3,0.4
0.701,16.3,25.6,9.6,0.252,30.5,4.1,1.3,0.6
0.008,19.1,22.4,5.4,0.146,27.8,4.3,1.7,1.8
0.001,6.7,17.9,3.8,0.134,16.0,7.9,0.9,0.1
0.001,9.7,16.7,5.0,0.169,20.5,1.2,1.0,1.1
0.075,18.1,30.6,9.0,0.255,32.4,2.3,0.7,1.7
0.006,13.7,23.6,6.3,0.205,28.9,2.4,1.1,1.1
0.001,15.0,17.9,4.4,0.162,26.4,3.3,1.0,0.3
