RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
60,DeMar DeRozan,Chi,G-F,32.86,5,40.7,84.7,25.7,9.2,30,0.867,86,0.453,9,0,0.411,0.481,20.8,5.4,6.7,4.8,20.8,1.8,0.4,2.2,8,98.6,109.9
61,Gorgui Dieng,Atl,C,32.41,2,5.2,10.8,10.8,0,1,1,1,1,1,0,0.5,0.615,1.5,1.5,17.4,0,0,0,0,0,0,147.4,118.2
62,Spencer Dinwiddie,Dal,G,29.2,18,27.8,58,23.7,11.6,67,0.821,96,0.417,96,0.417,0.521,0.576,14.2,2.4,5.1,3.6,21.8,0.83,0.33,1.61,7.1,114,105.8
63,Luka Doncic,Dal,F-G,23.3,15,36.8,76.7,40.4,12.5,135,0.77,204,0.534,148,0.345,0.527,0.577,31.7,9.8,15.5,6.4,37.3,1.8,0.6,3.93,13.7,109.8,100
64,Ayo Dosunmu,Chi,G,22.41,5,17.1,35.7,15.1,10.2,1,1,13,0.385,13,0.231,0.365,0.378,4,2.6,7.6,2.2,19.3,0.2,0,0.6,6.6,93.9,112.7
65,Goran Dragic,Bro,G,36.12,4,19.8,41.3,22,13.2,2,1,20,0.7,12,0.333,0.625,0.639,10.5,4.5,14.8,1.5,12.8,0.75,0,1.25,8.4,119.3,101.2
66,Andre Drummond,Bro,C,28.85,4,15,31.2,14.7,31.3,5,0.6,11,0.545,0,0,0.545,0.568,3.8,3,13.1,0.8,7,1.25,0.75,1.5,5.6,89.5,91.6
67,Kevin Durant,Bro,F,33.71,4,44,91.7,31.5,17.4,38,0.895,62,0.403,21,0.333,0.428,0.526,26.3,5.8,8.5,6.3,22.3,1,0.25,5.25,9,99.4,109.1
68,Anthony Edwards,Min,G,20.87,6,37.8,78.8,26.4,10.7,34,0.824,53,0.509,57,0.404,0.559,0.604,25.2,4.2,6.1,3,14.8,1.17,1.17,2.5,7.2,113.8,107.7
69,Kessler Edwards,Bro,F,21.85,2,3.6,7.5,6.4,100,0,0,0,0,0,0,,,0,0,0,0.5,17,0.5,0,0.5,0,,
